,Date,Value
486,5/22/21,26530132
487,5/23/21,26752447
488,5/24/21,26948874
489,5/25/21,27157795
490,5/26/21,27369093
491,5/27/21,27555457
492,5/28/21,27729247
493,5/29/21,27894800
494,5/30/21,28047534
495,5/31/21,28175044
496,6/1/21,28307832
497,6/2/21,28441986
498,6/3/21,28574350
499,6/4/21,28694879
500,6/5/21,28809339
501,6/6/21,28909975
502,6/7/21,28996473
503,6/8/21,29089069
504,6/9/21,29182532
505,6/10/21,29274823
506,6/11/21,29359155
507,6/12/21,29439989
508,6/13/21,29510410
509,6/14/21,29570881
510,6/15/21,29633105
511,6/16/21,29700313
512,6/17/21,29762793
513,6/18/21,29823546
514,6/19/21,29881772
515,6/20/21,29935221
516,6/21/21,29977861
517,6/22/21,30028709
518,6/23/21,30082778
519,6/24/21,30134445
520,6/25/21,30183143
521,6/26/21,30233183
522,6/27/21,30279331
523,6/28/21,30316897
524,6/29/21,30362848
525,6/30/21,30411634
526,7/1/21,30458251
527,7/2/21,30502362
528,7/3/21,30545433
529,7/4/21,30585229
530,7/5/21,30619932
531,7/6/21,30663665
532,7/7/21,30709557
533,7/8/21,30752950
534,7/9/21,30795716
535,7/10/21,30837222
536,7/11/21,30874376
537,7/12/21,30907282
538,7/13/21,30946147
539,7/14/21,30987880
540,7/15/21,31026829
541,7/16/21,31064908
542,7/17/21,31106065
543,7/18/21,31144229
544,7/19/21,31174322
545,7/20/21,31216337
546,7/21/21,31257720
547,7/22/21,31293062
548,7/23/21,31332159
549,7/24/21,31371901
550,7/25/21,31411262
551,7/26/21,31440951
552,7/27/21,31484605
553,7/28/21,31528114
554,7/29/21,31572344
555,7/30/21,31613993
556,7/31/21,31655824
557,8/1/21,31695958
558,8/2/21,31726507
559,8/3/21,31769132
560,8/4/21,31812114
561,8/5/21,31856757
562,8/6/21,31895385
563,8/7/21,31934455
564,8/8/21,31969954
565,8/9/21,31998158
566,8/10/21,32036511
567,8/11/21,32077706
568,8/12/21,32117826
569,8/13/21,32156493
570,8/14/21,32192576
571,8/15/21,32225513
572,8/16/21,32250679
573,8/17/21,32285857
574,8/18/21,32322258
575,8/19/21,32358829
576,8/20/21,32393286
577,8/21/21,32424234
578,8/22/21,32449306
579,8/23/21,32474773
580,8/24/21,32512366
